Name,Gender,Origin
Adeline,F,"{""GB"":""1"",""US"":""1"",""FR"":""5"",""BE"":""3"",""LU"":""3"",""DE"":""1"",""CH"":""2"",""NO"":""1""}"
Adelino,M,"{""IT"":""2"",""PT"":""6"",""ES"":""1"",""CH"":""1""}"
Adelio,M,"{""IT"":""2"",""ES"":""1""}"
Adélio,M,"{""PT"":""1""}"
Adelisa,F,"{""PT"":""1""}"
Adeliya,F,"{""KZ/UZ/.etc"":""1""}"
Adell,F,"{""US"":""1""}"
Adella,F,"{""US"":""1"",""RO"":""1""}"
Adelle,F,"{""GB"":""1"",""US"":""1""}"
Adelma,F,"{""IT"":""1""}"
Adelmar,M,"{""East Frisia"":""1""}"
Adelmina,F,"{""IT"":""1""}"
Adelmino,M,"{""IT"":""1""}"
Adelmira,F,"{""IT"":""1""}"
Adelmo,M,"{""IT"":""3""}"
Adelo,M,"{""ES"":""1""}"
Adelphine,F,"{""FR"":""1""}"
Adeltraud,F,"{""DE"":""1""}"
Adeltraut,F,"{""DE"":""1""}"
Adeluta,F,"{""RO"":""1""}"
Adelya,F,"{""AZ"":""4"",""KZ/UZ/.etc"":""2""}"
Adelyne,F,"{""FR"":""1""}"
Adem,M,"{""BA"":""6"",""Kosovo"":""5"",""MK"":""3"",""ME"":""3"",""AL"":""6"",""TR"":""6"",""SA/IR"":""2""}"
Ademar,M,"{""PT"":""1""}"
Ademara,F,"{""IT"":""1""}"
Ademaro,M,"{""IT"":""1""}"
Aden,M,"{""GB"":""1"",""US"":""1"",""GE"":""1""}"
Adeodata,F,"{""IT"":""1""}"
Adeodato,M,"{""IT"":""1""}"
Aderita,F,"{""IT"":""1""}"
Aderito,M,"{""IT"":""1""}"
Adérito,M,"{""PT"":""2""}"
Adham,M,"{""AL"":""1"",""KZ/UZ/.etc"":""2"",""SA/IR"":""2""}"
Adhémar,M,"{""FR"":""1""}"
Adhurim,M,"{""Kosovo"":""3"",""AL"":""2""}"
Adi,F,"{""IL"":""7""}"
Adib,M,"{""SA/IR"":""3""}"
Adiba,F,"{""SA/IR"":""1""}"
Adil,M,"{""BA"":""4"",""Kosovo"":""4"",""AZ"":""6"",""KZ/UZ/.etc"":""5"",""TR"":""5"",""SA/IR"":""5""}"
Adila,F,"{""BA"":""4"",""AZ"":""1""}"
Adilbek,M,"{""KZ/UZ/.etc"":""3""}"
Adile,F,"{""TR"":""4""}"
Adilia,F,"{""ES"":""1"",""RU"":""1""}"
Adília,F,"{""PT"":""1""}"
Adilkhan,M,"{""KZ/UZ/.etc"":""1""}"
Adin,M,"{""RO"":""1"",""BA"":""1""}"
Adina,F,"{""IT"":""1"",""East Frisia"":""1"",""DE"":""1"",""AT"":""1"",""SE"":""1"",""PL"":""1"",""RO"":""5"",""IL"":""6""}"
Adinda,F,"{""NL"":""1""}"
Adine,F,"{""NL"":""1""}"
Adinel,M,"{""RO"":""2""}"
Adino,M,"{""IT"":""1""}"
Adir,M,"{""IL"":""2""}"
Adis,M,"{""BA"":""5"",""MK"":""2""}"
Adisa,F,"{""BA"":""6"",""ME"":""1""}"
Aditi,F,"{""IN/LK"":""3""}"
Aditya,M,"{""IN/LK"":""1""}"
Adiya,F,"{""KZ/UZ/.etc"":""3""}"
